arm_name,dataset_split,metric_name,value,timestamp
set1_night_aug_3ep_test,val,mAP50,0.305283855111676,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,mAP50-95,0.18210777853126092,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,mAP50_car,0.6850911920463809,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,mAP50-95_car,0.39604921670784976,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,mAP50_truck,0.29760163999019135,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,mAP50-95_truck,0.19381130251744583,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,mAP50_bus,0.2571064233153138,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,mAP50-95_bus,0.1813013955302692,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,mAP50_motor,0.15233010780958306,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,mAP50-95_motor,0.08079940273686101,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,mAP50_bike,0.13428991239691093,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val,mAP50-95_bike,0.05857757516387878,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,mAP50,0.26718757168084756,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,mAP50-95,0.15173246837269821,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,mAP50_car,0.6520888007203838,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,mAP50-95_car,0.3502097366435195,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,mAP50_truck,0.29311796548483204,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,mAP50-95_truck,0.1970873575381435,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,mAP50_bus,0.22137940324520816,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,mAP50-95_bus,0.15354179274008958,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,mAP50_motor,0.057826660118619505,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,mAP50-95_motor,0.019449279932957746,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,mAP50_bike,0.11152502883519429,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_night,mAP50-95_bike,0.03837417500878087,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_dawndusk,mAP50,0.29859804250010213,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_dawndusk,mAP50-95,0.17905825548313548,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_dawndusk,mAP50_car,0.6778656118585755,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_dawndusk,mAP50-95_car,0.4090397248020623,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_dawndusk,mAP50_truck,0.30188213622757987,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_dawndusk,mAP50-95_truck,0.1977389334655389,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_dawndusk,mAP50_bus,0.26030617074088996,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_dawndusk,mAP50-95_bus,0.1893399994639595,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_dawndusk,mAP50_motor,0.08098228770287202,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_dawndusk,mAP50-95_motor,0.04000926950609535,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_dawndusk,mAP50_bike,0.1719540059705934,2026-08-16T08:58:04.926074+00:00
set1_night_aug_3ep_test,val_dawndusk,mAP50-95_bike,0.05916335017802149,2026-08-16T08:58:04.926074+00:00
set1_night_aug_1ep_test,val,mAP50,0.305283855111676,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val,mAP50-95,0.18210777853126092,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val,mAP50_car,0.6850911920463809,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val,mAP50-95_car,0.39604921670784976,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val,mAP50_truck,0.29760163999019135,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val,mAP50-95_truck,0.19381130251744583,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val,mAP50_bus,0.2571064233153138,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val,mAP50-95_bus,0.1813013955302692,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val,mAP50_motor,0.15233010780958306,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val,mAP50-95_motor,0.08079940273686101,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val,mAP50_bike,0.13428991239691093,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val,mAP50-95_bike,0.05857757516387878,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val_night,mAP50,0.26718757168084756,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val_night,mAP50-95,0.15173246837269821,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val_night,mAP50_car,0.6520888007203838,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val_night,mAP50-95_car,0.3502097366435195,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val_night,mAP50_truck,0.29311796548483204,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val_night,mAP50-95_truck,0.1970873575381435,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val_night,mAP50_bus,0.22137940324520816,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val_night,mAP50-95_bus,0.15354179274008958,2026-08-16T10:08:10.325959+00:00
set1_night_aug_1ep_test,val_night,mAP50_motor,0.057826660118619505,2026-08-16T10:08:10.325959+00:00
